sc,energy_stn_kwh_wasatch,energy_dwpt_kwh_wasatch,energy_total_kwh_wasatch
0,616465.0166056865,4263.873868641219,620728.8904743277
1,604787.9951917183,8744.257510579635,613532.252702298
2,580822.3346639641,22677.65263310277,603499.9872970668
3,622368.6146634761,0.0,622368.6146634761
4,618299.0717626124,0.0,618299.0717626124
5,626996.0317398548,0.0,626996.0317398548
6,628072.7944825514,0.0,628072.7944825514
7,620391.0786938821,0.0,620391.0786938821
8,620194.0009370068,0.0,620194.0009370068
9,615334.202135082,0.0,615334.202135082
10,612793.6589265085,2809.6906615651405,615603.3495880737
11,549747.2835095008,48938.717590784945,598686.0011002857
12,564872.7970410251,33310.60662837259,598183.4036693977
13,588085.8892780704,17785.147086883495,605871.036364954
14,618351.5556895301,0.0,618351.5556895301
15,614510.7866315396,0.0,614510.7866315396
16,613095.3544604153,0.0,613095.3544604153
17,611185.910543972,1643.3792328153036,612829.2897767874
18,2538429.4631853607,86105.08858268987,2624534.5517680505
19,2663600.102780849,46146.58012836754,2709746.6829092167
20,2390731.078084154,214900.05579901452,2605631.1338831685
21,2514213.5201652013,149088.2131094197,2663301.733274621
22,2742574.9018292436,6314.571697388414,2748889.473526632
23,2811123.1818647045,886.3816549572311,2812009.563519662
24,2760796.430502583,2087.653410281934,2762884.083912865
25,2730882.431986898,3257.4106537585753,2734139.842640657
26,2610382.9089123267,71396.53894676521,2681779.4478590917
27,2279582.289884638,258980.93069795572,2538563.2205825937
28,2105257.4514306965,317760.90204698837,2423018.353477685
29,2212174.529583543,263903.7626522287,2476078.2922357717
30,2330143.2380414233,209628.1283960859,2539771.366437509
31,2610499.2101170053,49101.985323126224,2659601.1954401317
32,2712510.7687328886,2394.3579008730057,2714905.1266337615
33,2667711.1797996974,4527.51399656763,2672238.693796265
34,2629679.6688585645,20902.794550078157,2650582.4634086424
35,2467943.704396511,134083.1960701384,2602026.9004666493
36,2715543.2533170115,27984.703477210976,2743527.9567942224
37,628523.4200762006,0.0,628523.4200762006
38,611893.7756565157,5040.692934777611,616934.4685912933
39,621045.4073119934,3592.075544093841,624637.4828560873
40,629472.174664257,2008.4450245794471,631480.6196888364
41,633565.6770685158,0.0,633565.6770685158
42,633606.2687027637,0.0,633606.2687027637
43,628885.7468713374,0.0,628885.7468713374
44,628858.3976390344,0.0,628858.3976390344
45,2779312.8152759145,3756.4056057380385,2783069.2208816526
46,2570545.0685889735,142785.13705820136,2713330.2056471747
47,2705623.528911202,69005.01942603088,2774628.5483372333
48,2844411.8397610076,2154.3869631775488,2846566.226724185
49,2882344.309914478,0.0,2882344.309914478
50,2835489.020892853,0.0,2835489.020892853
51,2789549.256327783,0.0,2789549.256327783
52,629886.9100983585,0.0,629886.9100983585
53,2468345.1732731326,205350.79095717394,2673695.9642303064
