sc,grid_upgrade_wasatch_kw,grid_upgrade_wasatch_cost_usd
0,80411.90113794163,24123570.34138248
1,84575.05811797926,24971449.3948823
2,121495.0245003044,31570523.35815342
3,78825.72349652949,23647717.04895831
4,78675.12675896837,23602538.027690373
5,81316.72056968257,24395016.170904763
6,80240.0968022307,24072029.04066921
7,78136.16445924428,23440849.33777327
8,79912.878939203,23973863.681760844
9,76549.14196520043,22964742.589559846
10,78091.55253568392,23427465.76070518
11,212663.25197473008,48898438.60361645
12,149641.2669132259,39189638.57105569
13,111797.60710520552,29852950.964142945
14,80716.6931540787,24215007.946223624
15,79963.791489136,23989137.446740802
16,78781.64889539,23634494.668616187
17,78404.73978839729,23521421.93651918
18,641625.3576961042,159055598.04848194
19,492652.4205999953,135721852.8446553
20,1114845.9334120974,225034196.0839026
21,783138.1523370967,188413934.23029056
22,390870.6854996426,116060008.66919832
23,393535.6133903319,118060684.01709957
24,380406.46837573766,114121940.51271804
25,371952.0433464651,111585613.0039395
26,584618.2976221533,148496892.60669437
27,1363607.1457684182,254309469.7017622
28,1660902.3706217452,297292254.5614359
29,1358098.6344188722,257267809.5354792
30,1061001.871002715,221527444.29992786
31,527217.5622102491,138456621.68294185
32,383404.2062292961,115021261.86878529
33,372496.6240616983,111748987.21850948
34,403428.0339959751,120216249.77736154
35,801054.8704656466,187243444.35451412
36,421599.48332040233,126479844.99611364
37,79154.98998476652,23746496.995429683
38,80026.87873759949,24008063.621279847
39,80973.00341702176,24291901.02510626
40,82387.82114387232,24716346.3431617
41,82064.75281839076,24619425.845517233
42,82083.40402786847,24625021.208360545
43,79673.60839958572,23902082.519875735
44,79666.96983877331,23900090.951631892
45,383177.90829492855,114953372.48847607
46,774363.4330115488,186463462.61597195
47,564421.8774670484,147291722.0632752
48,400691.94734539243,120207584.20361769
49,405908.47912946646,121772543.7388399
50,391432.8831688746,117429864.95066243
51,378871.31110009784,113661393.3300294
52,79376.56609190427,23812969.827571284
53,1112214.3417610885,221854012.0898338
