sc,LocId,hour_of_day,net_power_kw,net_energy_kwh
0,stn_100_South_Ogden,0,0.0,0.0
0,stn_100_South_Ogden,1,0.0,0.0
0,stn_100_South_Ogden,2,0.0,0.0
0,stn_100_South_Ogden,3,34.37586984298077,5.843897873306791
0,stn_100_South_Ogden,4,34.37586984298077,34.37586984298077
0,stn_100_South_Ogden,5,34.37586984298077,8.823139926365101
0,stn_100_South_Ogden,6,34.37586984298077,32.6666252035659
0,stn_100_South_Ogden,7,34.37586984298077,23.003186236594598
0,stn_100_South_Ogden,8,34.37586984298077,23.041381647531495
0,stn_100_South_Ogden,9,34.37586984298077,17.264325743363692
0,stn_100_South_Ogden,10,0.0,0.0
0,stn_100_South_Ogden,11,34.37586984298077,15.827699858033244
0,stn_100_South_Ogden,12,34.37586984298077,13.597566293445654
0,stn_100_South_Ogden,13,34.37586984298077,17.2452280378953
0,stn_100_South_Ogden,14,34.37586984298077,11.487269839196129
0,stn_100_South_Ogden,15,0.0,0.0
0,stn_100_South_Ogden,16,0.0,0.0
0,stn_100_South_Ogden,17,0.0,0.0
0,stn_100_South_Ogden,18,0.0,0.0
0,stn_100_South_Ogden,19,0.0,0.0
0,stn_100_South_Ogden,20,0.0,0.0
0,stn_100_South_Ogden,21,0.0,0.0
0,stn_100_South_Ogden,22,34.37586984298077,34.37586984298077
0,stn_100_South_Ogden,23,34.37586984298077,34.37586984298077
0,stn_102_Riverton,0,56.113019544384784,56.113019544384784
0,stn_102_Riverton,1,72.60510376356655,72.60510376356655
0,stn_102_Riverton,2,72.60510376356655,72.60510376356655
0,stn_102_Riverton,3,72.60510376356655,72.60510376356655
0,stn_102_Riverton,4,72.60510376356655,72.60510376356655
0,stn_102_Riverton,5,72.60510376356655,72.60510376356655
0,stn_102_Riverton,6,72.60510376356655,72.60510376356655
0,stn_102_Riverton,7,72.60510376356655,22.164724732266617
0,stn_102_Riverton,8,72.60510376356655,15.375187431309525
0,stn_102_Riverton,9,72.60510376356655,36.46389655681345
0,stn_102_Riverton,10,72.60510376356655,36.44372847243488
0,stn_102_Riverton,11,72.60510376356655,27.63027559891263
0,stn_102_Riverton,12,72.60510376356655,52.05763344249819
0,stn_102_Riverton,13,72.60510376356655,12.342867639806439
0,stn_102_Riverton,14,72.60510376356655,36.484064641192035
0,stn_102_Riverton,15,0.0,0.0
0,stn_102_Riverton,16,0.0,0.0
0,stn_102_Riverton,17,0.0,0.0
0,stn_102_Riverton,18,0.0,0.0
0,stn_102_Riverton,19,0.0,0.0
0,stn_102_Riverton,20,0.0,0.0
0,stn_102_Riverton,21,0.0,0.0
0,stn_102_Riverton,22,72.60510376356655,72.60510376356655
0,stn_102_Riverton,23,72.60510376356655,72.60510376356655
0,stn_103_Cottonwood_Heights,0,0.0,0.0
0,stn_103_Cottonwood_Heights,1,0.0,0.0
0,stn_103_Cottonwood_Heights,2,0.0,0.0
0,stn_103_Cottonwood_Heights,3,0.0,0.0
0,stn_103_Cottonwood_Heights,4,0.0,0.0
0,stn_103_Cottonwood_Heights,5,0.0,0.0
0,stn_103_Cottonwood_Heights,6,23.98851065424743,8.08279539544496
0,stn_103_Cottonwood_Heights,7,23.98851065424743,20.030406396296627
0,stn_103_Cottonwood_Heights,8,23.98851065424743,9.595404261698938
0,stn_103_Cottonwood_Heights,9,23.98851065424743,16.032321287255442
0,stn_103_Cottonwood_Heights,10,23.98851065424743,12.03423617821409
0,stn_103_Cottonwood_Heights,11,23.98851065424743,20.023742921114955
0,stn_103_Cottonwood_Heights,12,23.98851065424743,18.977577317582483
0,stn_103_Cottonwood_Heights,13,23.98851065424743,16.04564823761879
0,stn_103_Cottonwood_Heights,14,23.98851065424743,8.042814544354583
0,stn_103_Cottonwood_Heights,15,0.0,0.0
0,stn_103_Cottonwood_Heights,16,0.0,0.0
0,stn_103_Cottonwood_Heights,17,0.0,0.0
0,stn_103_Cottonwood_Heights,18,0.0,0.0
0,stn_103_Cottonwood_Heights,19,0.0,0.0
0,stn_103_Cottonwood_Heights,20,0.0,0.0
0,stn_103_Cottonwood_Heights,21,0.0,0.0
0,stn_103_Cottonwood_Heights,22,23.98851065424743,23.98851065424743
