sc,LocId,component,net_present_kwh,npc_usd,component_lcoc_usd_per_kwh
0,dwpt_1641,energy,11838245.183044236,361835.96401974856,0.030565000000000123
0,dwpt_1641,flatDmd,11838245.183044236,794005.9134244425,0.06707125094534169
0,dwpt_1641,grid upgrades,11838245.183044236,545290.6687931352,0.04606178199233007
0,dwpt_1641,infrastructure,11838245.183044236,684397.1071160532,0.05781237814674647
0,dwpt_564,energy,19259872.78634769,588678.0117147156,0.03056499999999992
0,dwpt_564,flatDmd,19259872.78634769,1228752.709037153,0.0637985890492564
0,dwpt_564,grid upgrades,19259872.78634769,85160.0104580631,0.0044216289174261085
0,dwpt_564,infrastructure,19259872.78634769,1347392.3222703703,0.06995852658099931
0,stn_100_South_Ogden,energy,5025306.317826469,153598.48760436266,0.03056499999999933
0,stn_100_South_Ogden,flatDmd,5025306.317826469,70756.36898763315,0.014080011150093729
0,stn_100_South_Ogden,infrastructure,5025306.317826469,118985.95978092277,0.023677354623904044
0,stn_102_Riverton,energy,19473297.259944238,692950.4686046019,0.03558465006488512
0,stn_102_Riverton,flatDmd,19473297.259944238,295621.29162172694,0.015180854463193947
0,stn_102_Riverton,grid upgrades,19473297.259944238,74515.17779898817,0.003826531111003106
0,stn_102_Riverton,infrastructure,19473297.259944238,497125.32763566665,0.025528564628766428
0,stn_102_Riverton,timevarDmd,19473297.259944238,310193.4468639939,0.01592916919632552
0,stn_103_Cottonwood_Heights,energy,6414275.683390207,196052.33626282297,0.030565000000000203
0,stn_103_Cottonwood_Heights,flatDmd,6414275.683390207,144567.62583347096,0.022538417893049004
0,stn_103_Cottonwood_Heights,grid upgrades,6414275.683390207,28997.33747673234,0.004520750106176612
0,stn_103_Cottonwood_Heights,infrastructure,6414275.683390207,243109.10747909296,0.037901256428473286
0,stn_111_Alpine,energy,214498.57188269656,6556.1488495946,0.030564999999999905
0,stn_111_Alpine,flatDmd,214498.57188269656,11158.513859383855,0.05202138998615871
0,stn_111_Alpine,infrastructure,214498.57188269656,18764.480149053074,0.08748067637165835
0,stn_112_Sunset,energy,113396033.10932021,3465949.75198637,0.03056499999999998
0,stn_112_Sunset,flatDmd,113396033.10932021,1797408.3590996936,0.015850716377061355
0,stn_112_Sunset,grid upgrades,113396033.10932021,493890.2818222329,0.00435544585008626
0,stn_112_Sunset,infrastructure,113396033.10932021,3925937.2358661355,0.03462146891929905
0,stn_115_Clearfield,energy,64279640.97382939,2052633.6691852512,0.031932873894254546
0,stn_115_Clearfield,flatDmd,64279640.97382939,1291693.6603474652,0.02009491093569364
0,stn_115_Clearfield,infrastructure,64279640.97382939,2172149.4774023676,0.03379218434475591
0,stn_115_Clearfield,timevarDmd,64279640.97382939,290752.6693638342,0.004523246629243158
0,stn_117_Draper,energy,83283240.82926801,2941744.0027000587,0.035322160538044885
0,stn_117_Draper,flatDmd,83283240.82926801,1547764.8229661724,0.01858434911459696
0,stn_117_Draper,grid upgrades,83283240.82926801,299139.20195180236,0.0035918295082325454
0,stn_117_Draper,infrastructure,83283240.82926801,2602766.1624067803,0.03125197982800037
0,stn_117_Draper,timevarDmd,83283240.82926801,1264570.251789664,0.015183970258578835
0,stn_122_West_Bountiful,energy,131150831.40539925,4008625.161906018,0.030564999999999922
0,stn_122_West_Bountiful,flatDmd,131150831.40539925,2426058.1290402827,0.018498229123238376
0,stn_122_West_Bountiful,grid upgrades,131150831.40539925,700592.4001041166,0.005341883025800433
0,stn_122_West_Bountiful,infrastructure,131150831.40539925,4839727.122182171,0.036901993455322676
0,stn_126_Harrisville,energy,8214719.003114497,251082.88633019774,0.03056500000000038
0,stn_126_Harrisville,flatDmd,8214719.003114497,87948.89857223984,0.010706257699002878
0,stn_126_Harrisville,grid upgrades,8214719.003114497,19588.010487127307,0.0023845015854712477
0,stn_126_Harrisville,infrastructure,8214719.003114497,147897.41556865379,0.018003953088666882
0,stn_131_Millcreek,energy,63806774.50122661,1950254.0626299996,0.03056500000000013
0,stn_131_Millcreek,flatDmd,63806774.50122661,1070390.6949377717,0.016775502339758525
0,stn_131_Millcreek,grid upgrades,63806774.50122661,156853.34742004104,0.0024582553913146906
0,stn_131_Millcreek,infrastructure,63806774.50122661,3077993.731532137,0.04823929364229132
0,stn_132_Syracuse,energy,34189647.75254207,1045006.5835564834,0.030565000000001022
0,stn_132_Syracuse,flatDmd,34189647.75254207,478013.62793935195,0.013981238748030408
0,stn_132_Syracuse,grid upgrades,34189647.75254207,101629.18278599929,0.002972513303487982
0,stn_132_Syracuse,infrastructure,34189647.75254207,803841.5639822572,0.023511256091326354
0,stn_136_Provo,energy,81974720.21440282,2505557.3233531667,0.030564999999999322
0,stn_136_Provo,flatDmd,81974720.21440282,1489433.6254481017,0.018169426154215903
0,stn_136_Provo,grid upgrades,81974720.21440282,165371.22772283608,0.002017344216489081
0,stn_136_Provo,infrastructure,81974720.21440282,2504674.730905097,0.030554233358213154
0,stn_137_Lindon,energy,15622989.809585582,477516.6835299921,0.030565000000000564
0,stn_137_Lindon,flatDmd,15622989.809585582,338028.51153453253,0.02163660833518134
0,stn_137_Lindon,grid upgrades,15622989.809585582,77600.13528910089,0.004967047680047057
0,stn_137_Lindon,infrastructure,15622989.809585582,568438.5371058664,0.03638474735207837
0,stn_141_Kaysville,energy,33626194.20959187,1027784.626016159,0.030564999999999506
0,stn_141_Kaysville,flatDmd,33626194.20959187,589196.7417544543,0.01752195737888131
0,stn_141_Kaysville,grid upgrades,33626194.20959187,165135.05149314887,0.004910905184924082
0,stn_141_Kaysville,infrastructure,33626194.20959187,990810.308958893,0.029465431109544485
0,stn_143_Clinton,energy,7871218.954357222,240583.80733992532,0.0305649999999996
0,stn_143_Clinton,flatDmd,7871218.954357222,94559.87738462079,0.01201337149086367
