sc,stationary_cost_case,dynamic_cost_case,batt_cost_kwh,lp_elec_frac,stationary_capex_per_kw,stationary_opex_per_kw_year,stationary_cost_readable,dynamic_capex_per_lane_mile,dynamic_opex_per_lane_mile_year,dynamic_cost_readable,electrification_percent,system_total_npc_usd,system_net_present_kwh,system_usd_per_kwh,location_npc_zone_usd,battery_npc_zone_usd,system_total_npc_for_mile_usd,system_net_present_miles_zone,system_usd_per_mile,n_ev_vehicles,energy_zone_kwh,grid_upgrade_wasatch_kw,grid_upgrade_wasatch_cost_usd,energy_stn_kwh_wasatch,energy_dwpt_kwh_wasatch,energy_total_kwh_wasatch,energy_frac_stn,energy_frac_dwpt
0,2,2,300,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,580370060.6470705,5216135992.162759,0.11126436533078819,580370060.6470705,218345581.6179474,798715642.265018,2559704679.6482677,0.31203429388376575,3514,637890.7891697817,80411.90113794163,24123570.34138248,616465.0166056865,4263.873868641219,620728.8904743277,0.9931308596489153,0.006869140351084667
1,1,2,300,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,586112905.7834262,5089055992.13693,0.11517124328933022,586112905.7834262,213764694.2131527,799877599.9965789,2529483056.195877,0.31622176635550403,3514,606859.4693892148,84575.05811797926,24971449.3948823,604787.9951917183,8744.257510579635,613532.252702298,0.9857476807909191,0.014252319209080894
2,0,2,300,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,1500000.0,-7600.0,dwpt $1500000/lane-mi capex + $-7600/lane-mi/yr opex,40,604578904.6968387,4976863967.587267,0.12147788419258974,604578904.6968387,208535408.9007904,813114313.5976291,2500025916.7735586,0.32524235374607813,3514,582247.3646765876,121495.0245003044,31570523.35815342,580822.3346639641,22677.65263310277,603499.9872970668,0.9624231100075569,0.037576889992443234
3,0,1,300,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,614437158.6677196,5174685330.887905,0.1187390381015285,614437158.6677196,223326427.3082771,837763585.9759967,2565311350.095828,0.326573842954658,3514,622565.6457046396,78825.72349652949,23647717.04895831,622368.6146634761,0.0,622368.6146634761,1.0,0.0
4,1,1,300,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,596442566.4476426,5175022616.146644,0.11525409852058921,596442566.4476426,222940964.37773213,819383530.8253747,2568702779.9247394,0.3189872869796878,3514,631132.5977703602,78675.12675896837,23602538.027690373,618299.0717626124,0.0,618299.0717626124,1.0,0.0
5,2,1,300,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,588201387.0806284,5275668887.162557,0.1114932342535591,588201387.0806284,223831441.8687814,812032828.9494097,2590603537.821036,0.31345314599254076,3514,652708.5658633967,81316.72056968257,24395016.170904763,626996.0317398548,0.0,626996.0317398548,1.0,0.0
6,2,0,300,0.4,1800.0,25.0,stn $1800/kW capex + $25/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,582315559.5024233,5267304787.330919,0.11055285065391057,582315559.5024233,221449285.68069306,803764845.1831163,2589399850.062569,0.3104058437184564,3514,642422.0935144571,80240.0968022307,24072029.04066921,628072.7944825514,0.0,628072.7944825514,1.0,0.0
7,1,0,300,0.4,2050.0,50.0,stn $2050/kW capex + $50/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,590375658.1871428,5166488740.251601,0.11427019158826084,590375658.1871428,221042122.49063277,811417780.6777756,2568530710.112019,0.3159073697204843,3514,622884.1413031529,78136.16445924428,23440849.33777327,620391.0786938821,0.0,620391.0786938821,1.0,0.0
8,0,0,300,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,621948523.609772,5180630248.851194,0.12005267578161734,621948523.609772,225913091.62594178,847861615.2357137,2568817720.5680437,0.3300590806607429,3514,631872.2331281691,79912.878939203,23973863.681760844,620194.0009370068,0.0,620194.0009370068,1.0,0.0
9,0,0,500,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,3920000.0,152400.0,dwpt $3920000/lane-mi capex + $152400/lane-mi/yr opex,40,609989207.786778,5121839878.14158,0.11909571995603031,609989207.786778,338041470.3331501,948030678.1199281,2580716093.13996,0.36735179070645396,3514,583534.7269745419,76549.14196520043,22964742.589559846,615334.202135082,0.0,615334.202135082,1.0,0.0
10,0,1,500,0.4,2250.0,75.0,stn $2250/kW capex + $75/kW/yr opex,2532000.0,72400.0,dwpt $2532000/lane-mi capex + $72400/lane-mi/yr opex,40,612880353.2267098,5122856902.594507,0.11963643819844201,612880353.2267098,336840241.88503444,949720595.1117443,2578679778.3757043,0.36829722056841346,3514,582939.931742984,78091.55253568392,23427465.76070518,612793.6589265085,2809.6906615651405,615603.3495880737,0.9954358749616206,0.004564125038379378
